id;category_id;title;condition;car_year;brand;model;version;engine;engine_power;doors;km;fuel_type;traction_control;passenger_capacity;transmission;currency;price;seller_id;seller_nickname;is_car_shop;seller_country;seller_state;seller_city;seller_neighborhood
MLA1401929551;MLA1744;Volkswagen Gol 2007 1.6 Nafta C/ Gnc 3 P A/ac D/a Llantas;Usado;2007;Volkswagen;Gol;1.6 I Power 601;1.6;92 hp;3;180000 km;Nafta/GNC;Delantera;5;Manual;USD;4800;102000734;TONE.AUTOS;FALSO;Argentina;Bs.As. G.B.A. Oeste;La Matanza;Ramos Mejía
MLA1589633208;MLA1744;Volkswagen Gol Power 1.4 Nafta Año 2012;Usado;2012;Volkswagen;Gol;1.4 Power 83cv;1.4;83 hp;3;123000 km;Nafta;Delantera;5;Manual;ARS;5590000;48124990;ERNESTO AUTOMOTORES;FALSO;Argentina;Capital Federal;Capital Federal;Parque Chacabuco
MLA1518683518;MLA1744;Volkswagen Gol Power 1.6 N 3p (20.000km) 2011;Usado;2011;Volkswagen;Gol;1.6 I Power 701;1.6;92 hp;3;20000 km;Nafta;Delantera;5;Manual;ARS;7600000;275030624;ROBERTOGARCIA AUTOS;FALSO;Argentina;Bs.As. Costa Atlántica;Mar del Plata;Centro
MLA1649869588;MLA1744;Volkswagen Gol 2012 1.4 Power 3p. Aire, Dir, Cierre, Alarma.;Usado;2012;Volkswagen;Gol;1.4 Power Ps+ac 83cv;1.4;83 hp;5;123000 km;Nafta;Delantera;5;Manual;ARS;6800000;93447707;AUTOMOTORES ESPAÑA;FALSO;Argentina;Buenos Aires Interior;Chivilcoy;Chivilcoy
MLA1405622131;MLA1744;Volkswagen Gol Power 1.6 Nafta 5 Puertas C/aire;Usado;2010;Volkswagen;Gol;power 5 puertas;1.6;92 hp;5;183000 km;Nafta;Delantera;5;Manual;USD;4500;21119107;NOVOMEDIA;FALSO;Argentina;Bs.As. G.B.A. Norte;Tigre;General Pacheco
MLA1640254988;MLA1744;Volkswagen Gol 2011 1.4 Power Ps+ac 83cv;Usado;2011;Volkswagen;Gol;1.4 Power Ps+ac 83cv;1.4;83 hp;5;84300 km;Nafta;Delantera;5;Manual;USD;5950;76122160;GABOTES;FALSO;Argentina;Bs.As. G.B.A. Norte;San Isidro;
MLA1401827315;MLA1744;Volkswagen Gol 1.4 2013;Usado;2013;Volkswagen;Gol;1.4 Power 83cv 3 p;1.4;83 hp;3;165000 km;Nafta;Delantera;5;Manual;USD;5500;168604911;9 EJES;FALSO;Argentina;Buenos Aires Interior;General Rodríguez;General Rodríguez
MLA1400534409;MLA1744;Volkswagen Gol 1.6 Power 2008 Gnc;Usado;2008;Volkswagen;Gol;1.6 I Trendline 60b;1.6;92 hp;3;230000 km;Nafta/GNC;Delantera;5;Manual;ARS;4900000;78207802;AUTOMOTORES SOL;FALSO;Argentina;Bs.As. G.B.A. Oeste;La Matanza;San Justo
MLA1388060401;MLA1744;Volkswagen Gol 2011 1.4 Power 83cv;Usado;2011;Volkswagen;Gol;1.4 Power 83cv;1.4;83 hp;3;96000 km;Nafta;Delantera;5;Manual;ARS;6500000;43925074;VIRGICAR2012;FALSO;Argentina;Buenos Aires Interior;Roque Pérez;
MLA1601755466;MLA1744;Volkswagen Gol 1.4 L;Usado;2013;Volkswagen;Gol;1.4 Power 83cv 3 p;1.4;83 hp;3;80000 km;Nafta;Delantera;5;Manual;USD;5500;36925732;URBANCAR;FALSO;Argentina;Capital Federal;Capital Federal;Retiro
MLA1401966539;MLA1744;Volkswagen Gol 1.4 Power 83cv 3 P;Usado;2013;Volkswagen;Gol;1.4 Power 83cv 3 p;1.4;83 hp;3;85000 km;Nafta;Delantera;5;Manual;USD;5900;36925732;URBANCAR;FALSO;Argentina;Capital Federal;Capital Federal;Retiro
MLA1643266462;MLA1744;Volkswagen Gol 2012 1.4 Power Ps+ac 83cv;Usado;2012;Volkswagen;Gol;1.4 Power Ps+ac 83cv;1.4;83 hp;5;127000 km;Nafta;Delantera;5;Manual;USD;5600;815650880;ALRA9772504;FALSO;Argentina;Entre Ríos;Concordia;
